AUC_Ctot,Final_Ctot
77.41879547088739,34.448324630734184
80.19859161016228,39.45202309208844
56.026258788279485,22.791878607380017
94.91683985173385,46.06341688801355
38.90115470710561,14.50681196002695
53.877627081729884,23.38117950461599
40.83959298624204,11.637065585838853
48.938919405745374,17.801144414995637
69.33681607876846,31.85164991774269
59.27409807325525,24.094401228261006
58.92216691012094,25.204162746871443
77.3185379315443,32.83900981392236
37.73639013355097,11.767323769780473
54.95619645957412,23.113104728212885
79.72165558794173,43.04121050738078
119.798578348977,55.011196671178766
83.467807768959,37.63110727631226
64.8436717535835,30.690575250353934
84.39754731073765,33.57409764547912
81.55272930816523,37.14403547186637
69.57454078854917,30.426661032269095
73.68044083114742,29.052656255804386
75.00638370522249,37.62482929978637
91.08193155746892,38.56954166026966
50.37566131197835,19.578636365658465
71.26483028218404,34.126857108210565
92.82976942177513,41.23460279807239
73.73222161420026,33.027943869384266
77.35255351471135,36.91599270074243
102.44765621510047,49.2231065562873
93.08477979233382,41.63579599200789
82.86566904839184,35.71852122898909
113.02529585718648,50.32989917879065
96.46631025263682,42.979557463304964
68.07243227028312,33.35107119188265
76.75629829647664,34.85957633125686
60.30778773061003,26.450464248333855
69.36742081938621,36.806163313189906
63.343478603253374,27.868188401076775
112.04505385877775,51.114015923877886
68.1932677011943,28.10873525755697
64.7694742257408,29.967167296904332
63.60049007862982,27.775852161129304
77.150472085059,33.58997590369884
81.91320524381548,42.55010332261263
59.13280438651531,28.468814519625866
69.66494831750069,34.40436637963581
84.38230504496238,40.330818345372116
68.60136047557702,28.075413686684723
74.04201594315101,35.17893740486395
83.95402368316994,35.488286366024084
42.26620582454861,14.119440121473616
74.5593436360146,35.92420959693693
73.95644683033503,39.14853085013697
60.453717910886255,25.372229320085527
80.29454926817995,34.44913335179868
82.66316101346736,41.04106255635028
81.29238343372867,44.978503552264826
80.33084841784863,39.55731088705582
62.28176642219439,23.892865450748026
47.272536567555306,17.638725307131132
116.99980789413294,48.20256991698858
53.992136835253966,20.34914985308385
84.41718255298926,38.29142592648698
62.3517300507214,31.72958004164031
91.05965159371354,39.52411705076255
82.19272739223396,33.83016158793828
93.91957215970386,45.5699148214368
76.09614303997489,35.850621138966616
83.39058511214378,39.28684088319847
56.86305163701838,19.557266044923374
40.98671364451919,12.978189760252539
74.83954253696918,34.90991518211092
83.5192507916099,35.383711547825925
63.09227977247848,24.049893992264835
53.55550785675231,18.908787435076825
55.27738655340802,25.784444948962797
58.68018339540089,24.746279312883612
69.08456718275727,35.028556224852615
88.12602375866743,42.5695520623483
50.89097580352269,22.809775298144128
62.86160199944036,26.301018059190415
100.36353445705355,52.96466282455949
46.42543726272473,19.52458922743526
79.56668688269626,39.91359520012346
68.88115415567523,37.43899333467414
73.45535381299234,37.65625686727538
98.018282977534,45.42509665010605
88.55356143902057,45.45797831066093
45.35309518849649,17.80322559765388
87.69049502237573,44.66760212349626
87.12325547606802,44.740428899842755
95.47008004845709,46.75090139943139
69.82623176891119,29.96520594068076
55.51040515044254,19.83713130859054
55.26162524188163,21.85619607079439
72.09643180817619,29.403189704697255
84.509796152626,36.370311334789385
72.5789918317582,35.99968991856247
62.82992854007039,27.00525371813693
53.84060693248021,21.263184122606486
64.92589260236977,28.73342225688491
66.2341794632254,29.43669047529278
65.25324716553911,29.513279139327203
82.61033143176256,42.060641093488876
49.285351014114774,18.883523362898394
77.26332913248842,34.84385840450284
75.34261750594759,32.11312700410799
67.10762265632872,26.661732958166642
66.09833588163555,30.817976076061225
88.19143980035649,39.84990978080249
48.32986886369969,18.975192682483648
62.492301184907724,26.34255676998021
51.79452337473167,18.82157762148477
44.065863728085084,16.791640780955017
76.19928004492873,32.53587269341239
58.96375408951061,25.266316293115214
54.04205795396974,23.535576888162687
65.25470181808018,28.62983191477491
105.80429071648658,51.71780786207654
70.55771202100482,31.443536449593477
89.41060641669762,48.33325747097351
56.48732462757392,25.371285418934036
74.67945467891582,37.23873427515227
68.1531323990355,29.289664673824262
77.28657550648701,36.80081685924661
70.6711039069441,34.494139579213524
96.90957112677744,44.61050189012878
62.36353332533217,22.5856033164305
46.56113635534781,14.977819558339455
91.0813406856539,47.25953015511266
94.49280951739007,42.13415491541153
99.4690702562246,43.999165170809086
55.63772912729141,20.46004455012103
64.9974389629101,27.639972258384418
72.0683323594973,33.11528800186418
83.37281811094189,37.046204315158214
107.29520704529614,50.268872851168695
74.21994621688144,35.861251774015614
65.94416042034912,27.92733719180044
56.842322322661204,22.982325442391783
83.00736330335768,35.09561946408597
70.8826494923213,29.979280199822526
61.19180722204873,24.481556184354393
66.02391330928663,34.18491555461175
